DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
53;104;53104;Gennes-Longuefuye;53;104;53104;Gennes-sur-Glaize;1020;21;1041
53;124;53124;Prée-d'Anjou;53;124;53124;Laigné;837;22;859
53;136;53136;La Roche-Neuville;53;136;53136;Loigné-sur-Mayenne;1010;30;1040
53;137;53137;Loiron-Ruillé;53;137;53137;Loiron;1820;26;1846
53;104;53104;Gennes-Longuefuye;53;138;53138;Longuefuye;334;8;342
53;161;53161;Montsûrs;53;159;53159;Montourtier;330;10;340
53;161;53161;Montsûrs;53;161;53161;Montsûrs;1971;33;2004
53;185;53185;Pré-en-Pail-Saint-Samson;53;185;53185;Pré-en-Pail;1858;79;1937
53;137;53137;Loiron-Ruillé;53;194;53194;Ruillé-le-Gravelais;938;22;960
53;161;53161;Montsûrs;53;205;53205;Saint-Céneré;487;8;495
53;097;53097;Évron;53;207;53207;Saint-Christophe-du-Luat;764;13;777
53;062;53062;Château-Gontier-sur-Mayenne;53;215;53215;Saint-Fort;1897;77;1974
53;228;53228;Blandouet-Saint Jean;53;228;53228;Saint-Jean-sur-Erve;373;11;384
53;029;53029;Bierné-les-Villages;53;231;53231;Saint-Laurent-des-Mortiers;185;4;189
53;249;53249;Vimartin-sur-Orthe;53;239;53239;Saint-Martin-de-Connée;403;4;407
53;029;53029;Bierné-les-Villages;53;241;53241;Saint-Michel-de-Feins;183;4;187
53;161;53161;Montsûrs;53;244;53244;Saint-Ouën-des-Vallons;197;2;199
53;249;53249;Vimartin-sur-Orthe;53;249;53249;Saint-Pierre-sur-Orthe;471;8;479
53;185;53185;Pré-en-Pail-Saint-Samson;53;252;53252;Saint-Samson;415;14;429
53;136;53136;La Roche-Neuville;53;254;53254;Saint-Sulpice;230;3;233
53;255;53255;Sainte-Suzanne-et-Chammes;53;255;53255;Sainte-Suzanne;823;10;833
53;249;53249;Vimartin-sur-Orthe;53;274;53274;Vimarcé;226;6;232
54;099;54099;Val de Briey;54;099;54099;Briey;5819;194;6013
54;099;54099;Val de Briey;54;341;54341;Mance;582;18;600
54;099;54099;Val de Briey;54;342;54342;Mancieulles;1729;31;1760
54;557;54557;Bois-de-Haye;54;506;54506;Sexey-les-Bois;426;3;429
54;557;54557;Bois-de-Haye;54;557;54557;Velaine-en-Haye;1886;76;1962
55;040;55040;Beausite;55;006;55006;Amblaincourt;14;0;14
55;184;55184;Euville;55;016;55016;Aulnois-sous-Vertuzey;310;10;320
55;388;55388;Noyers-Auzécourt;55;019;55019;Auzécourt;83;0;83
55;117;55117;Clermont-en-Argonne;55;020;55020;Auzéville-en-Argonne;197;4;201
55;150;55150;Demange-Baudignécourt;55;030;55030;Baudignécourt;66;0;66
